Open Time,Close Time,Symbol,Type,Volume,Open Price,Close Price,Profit,Comment
2025-01-15 09:30:00,2025-01-15 10:45:00,EURUSD,BUY,1.0,1.0850,1.0870,200.0,SMA Crossover
2025-01-15 11:00:00,2025-01-15 11:30:00,GBPUSD,SELL,0.5,1.2650,1.2640,50.0,Resistance Break
2025-01-15 14:00:00,2025-01-15 15:20:00,EURUSD,BUY,1.5,1.0860,1.0850,-150.0,Stop Loss
2025-01-16 08:00:00,2025-01-16 09:15:00,USDJPY,BUY,2.0,149.50,149.80,600.0,Trend Follow
2025-01-16 10:30:00,2025-01-16 12:00:00,EURUSD,SELL,1.0,1.0875,1.0885,-100.0,False Signal
2025-01-16 13:45:00,2025-01-16 14:30:00,GBPUSD,BUY,0.8,1.2660,1.2680,160.0,Breakout
2025-01-17 09:00:00,2025-01-17 10:00:00,EURUSD,BUY,1.2,1.0890,1.0910,240.0,Morning Range
2025-01-17 11:30:00,2025-01-17 13:00:00,USDJPY,SELL,1.0,149.90,149.70,200.0,Reversal
2025-01-17 14:15:00,2025-01-17 15:45:00,EURUSD,BUY,1.0,1.0900,1.0895,-50.0,Small Loss
2025-01-18 08:30:00,2025-01-18 10:00:00,GBPUSD,BUY,1.5,1.2690,1.2710,300.0,Strong Signal
